employee_id,department,date,gender,department_code,clockin_time
DK1614,GSPHCDA  (GM),2024-02-01,Female,15,09:19:57
DK1614,GSPHCDA  (GM),2024-02-05,Female,15,09:22:04
DK1614,GSPHCDA  (GM),2024-02-06,Female,15,09:12:10
DK1614,GSPHCDA  (GM),2024-02-07,Female,15,09:34:14
DK1614,GSPHCDA  (GM),2024-02-09,Female,15,10:30:43
DK1614,GSPHCDA  (GM),2024-02-12,Female,15,10:12:46
DK1614,GSPHCDA  (GM),2024-02-13,Female,15,09:12:53
DK1614,GSPHCDA  (GM),2024-02-14,Female,15,09:23:05
DK1614,GSPHCDA  (GM),2024-02-15,Female,15,09:32:49
DK1614,GSPHCDA  (GM),2024-02-19,Female,15,09:19:39
DK1614,GSPHCDA  (GM),2024-02-20,Female,15,09:17:26
DK1614,GSPHCDA  (GM),2024-02-21,Female,15,08:57:58
DK1614,GSPHCDA  (GM),2024-02-22,Female,15,10:21:45
DK1614,GSPHCDA  (GM),2024-02-23,Female,15,09:33:14
DK1614,GSPHCDA  (GM),2024-02-26,Female,15,09:14:41
DK1614,GSPHCDA  (GM),2024-02-27,Female,15,09:39:42
DK1614,GSPHCDA  (GM),2024-02-28,Female,15,09:01:20
DK1614,GSPHCDA  (GM),2024-02-29,Female,15,09:10:57
DK1614,GSPHCDA  (GM),2024-03-04,Female,15,09:24:59
DK1614,GSPHCDA  (GM),2024-03-05,Female,15,09:13:34
DK1614,GSPHCDA  (GM),2024-03-06,Female,15,09:17:24
DK1614,GSPHCDA  (GM),2024-03-07,Female,15,09:52:05
DK1614,GSPHCDA  (GM),2024-03-08,Female,15,09:36:08
DK1614,GSPHCDA  (GM),2024-03-11,Female,15,09:06:09
DK1614,GSPHCDA  (GM),2024-03-12,Female,15,09:09:31
DK1614,GSPHCDA  (GM),2024-03-13,Female,15,08:51:04
DK1614,GSPHCDA  (GM),2024-03-14,Female,15,09:58:41
DK1614,GSPHCDA  (GM),2024-03-15,Female,15,09:32:35
DK1614,GSPHCDA  (GM),2024-03-18,Female,15,08:43:41
DK1614,GSPHCDA  (GM),2024-03-19,Female,15,08:48:59
DK1614,GSPHCDA  (GM),2024-03-20,Female,15,08:45:49
DK1614,GSPHCDA  (GM),2024-03-21,Female,15,09:26:33
DK1614,GSPHCDA  (GM),2024-03-22,Female,15,09:10:04
DK1614,GSPHCDA  (GM),2024-03-25,Female,15,08:57:41
DK1614,GSPHCDA  (GM),2024-03-26,Female,15,08:59:14
DK1614,GSPHCDA  (GM),2024-03-27,Female,15,09:03:32
DK1614,GSPHCDA  (GM),2024-03-28,Female,15,09:24:06
DK1614,GSPHCDA  (GM),2024-04-01,Female,15,09:11:37
DK1614,GSPHCDA  (GM),2024-04-02,Female,15,09:20:08
DK1614,GSPHCDA  (GM),2024-04-03,Female,15,09:04:36
DK1614,GSPHCDA  (GM),2024-04-04,Female,15,09:03:19
DK1614,GSPHCDA  (GM),2024-04-05,Female,15,09:21:34
DK1614,GSPHCDA  (GM),2024-04-06,Female,15,09:41:18
DK1614,GSPHCDA  (GM),2024-04-08,Female,15,08:55:06
DK1614,GSPHCDA  (GM),2024-04-09,Female,15,09:29:49
DK1614,GSPHCDA  (GM),2024-04-15,Female,15,09:01:39
DK1614,GSPHCDA  (GM),2024-04-16,Female,15,09:01:34
DK1614,GSPHCDA  (GM),2024-04-17,Female,15,09:25:44
DK1614,GSPHCDA  (GM),2024-04-18,Female,15,09:09:38
DK1614,GSPHCDA  (GM),2024-04-22,Female,15,09:27:15
DK1614,GSPHCDA  (GM),2024-04-23,Female,15,08:54:30
DK1614,GSPHCDA  (GM),2024-04-24,Female,15,08:57:22
DK1614,GSPHCDA  (GM),2024-04-26,Female,15,09:25:43
DK1614,GSPHCDA  (GM),2024-04-29,Female,15,09:02:42
DK1614,GSPHCDA  (GM),2024-04-30,Female,15,08:46:57
DK1614,GSPHCDA  (GM),2024-05-02,Female,15,09:10:52
DK1614,GSPHCDA  (GM),2024-05-03,Female,15,09:44:30
DK1614,GSPHCDA  (GM),2024-05-06,Female,15,08:58:21
DK1614,GSPHCDA  (GM),2024-05-07,Female,15,09:05:21
DK1614,GSPHCDA  (GM),2024-05-08,Female,15,08:47:06
DK1614,GSPHCDA  (GM),2024-05-09,Female,15,09:37:49
DK1614,GSPHCDA  (GM),2024-05-10,Female,15,09:22:46
DK1614,GSPHCDA  (GM),2024-05-13,Female,15,09:31:55
DK1614,GSPHCDA  (GM),2024-05-14,Female,15,08:51:46
DK1614,GSPHCDA  (GM),2024-05-15,Female,15,08:56:21
DK1614,GSPHCDA  (GM),2024-05-16,Female,15,08:51:23
DK1614,GSPHCDA  (GM),2024-05-20,Female,15,08:54:58
DK1614,GSPHCDA  (GM),2024-05-21,Female,15,08:57:09
DK1614,GSPHCDA  (GM),2024-05-22,Female,15,09:01:38
DK1614,GSPHCDA  (GM),2024-05-24,Female,15,08:56:12
DK1614,GSPHCDA  (GM),2024-05-27,Female,15,09:16:25
DK1614,GSPHCDA  (GM),2024-05-28,Female,15,09:29:07
DK1614,GSPHCDA  (GM),2024-05-29,Female,15,09:29:22
DK1614,GSPHCDA  (GM),2024-05-30,Female,15,10:17:31
DK1614,GSPHCDA  (GM),2024-06-05,Female,15,09:05:15
DK1614,GSPHCDA  (GM),2024-06-06,Female,15,09:01:46
DK1614,GSPHCDA  (GM),2024-06-07,Female,15,09:09:25
DK1614,GSPHCDA  (GM),2024-06-10,Female,15,09:05:00
DK1614,GSPHCDA  (GM),2024-06-11,Female,15,09:22:24
DK1614,GSPHCDA  (GM),2024-06-12,Female,15,09:05:27
DK1614,GSPHCDA  (GM),2024-06-13,Female,15,09:23:53
DK1614,GSPHCDA  (GM),2024-06-14,Female,15,10:07:10
DK1614,GSPHCDA  (GM),2024-06-19,Female,15,10:30:33
DK1614,GSPHCDA  (GM),2024-06-20,Female,15,09:17:06
DK1614,GSPHCDA  (GM),2024-06-21,Female,15,09:54:08
DK1614,GSPHCDA  (GM),2024-06-24,Female,15,09:07:36
DK1614,GSPHCDA  (GM),2024-06-25,Female,15,09:09:46
