id,lga_name,state_id,incentive_status,status,created_at,updated_at,deleted_at
276,AKKO,15,,1,3/14/2024 10:54,3/14/2024 10:54,
277,BALANGA,15,,1,3/14/2024 10:54,3/14/2024 10:54,
278,BILLIRI,15,,1,3/14/2024 10:54,3/14/2024 10:54,
279,DUKKU,15,,1,3/14/2024 10:54,3/14/2024 10:54,
280,FUNAKAYE,15,,1,3/14/2024 10:54,3/14/2024 10:54,
281,GOMBE,15,,1,3/14/2024 10:54,3/14/2024 10:54,
282,KALTUNGO,15,,1,3/14/2024 10:54,3/14/2024 10:54,
283,KWAMI,15,,1,3/14/2024 10:54,3/14/2024 10:54,
284,NAFADA,15,,1,3/14/2024 10:54,3/14/2024 10:54,
285,SHONGOM,15,,1,3/14/2024 10:54,3/14/2024 10:54,
286,YALMALTU/ DEBA,15,,1,3/14/2024 10:54,3/14/2024 10:54,
