id,state_name,country_id,status,created_at,updated_at,deleted_at
1,ABIA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
2,ADAMAWA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
3,AKWA IBOM,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
4,ANAMBRA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
5,BAUCHI,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
6,BAYELSA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
7,BENUE,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
8,BORNO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
9,CROSS RIVER,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
10,DELTA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
11,EBONYI,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
12,EDO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
13,EKITI,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
14,ENUGU,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
15,GOMBE,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
16,IMO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
17,JIGAWA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
18,KADUNA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
19,KANO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
20,KATSINA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
21,KEBBI,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
22,KOGI,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
23,KWARA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
24,LAGOS,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
25,NASARAWA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
26,NIGER,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
27,OGUN,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
28,ONDO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
29,OSUN,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
30,OYO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
31,PLATEAU,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
32,RIVERS,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
33,SOKOTO,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
34,TARABA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
35,YOBE,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
36,ZAMFARA,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
37,FEDERAL CAPITAL TERRITORY,1,1,2024-03-14 10:55:43,2024-03-14 10:55:43,
