id,name,lga_id,status,created_at,updated_at,deleted_at
1,EZIAMA,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
2,INDUSTRIAL AREA,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
3,OSUSU I,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
4,OSUSU II,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
5,ST.EUGENES BY OKIGWE RD.,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
6,URATTA,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
7,OLD ABA GRA,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
8,UMUOLA,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
9,ARIARIA MARKET,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
10,OGBOR I,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
11,OGBOR II,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
12,UMUOGOR,1,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
13,EZIUKWU,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
14,ASA,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
15,ENYIMBA,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
16,NGWA,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
17,OHAZU I,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
18,OHAZU II,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
19,IGWEBUIKE,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
20,EKEOHA,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
21,GLOUCESTER,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
22,MOSQUE,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
23,ABA RIVER,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
24,ABA TOWN HALL,2,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
25,OVUKWU,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
26,OHAEKE,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
27,OHAFOR I,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
28,OHAFOR II,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
29,AROCHUKWU I,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
30,AROCHUKWU II,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
31,IKWUN IHECHIOWA,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
32,ELEOHA IHECHIOWA,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
33,UTUTU,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
34,ISU,3,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
